,Player,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts,Overall Rating
331,Charlie Kolar,7.0,87.0,1.0,0.0,0.0,19.0,5.0,71.4,-0.0,17.0,9.0,0.2122208934459618
332,Jalen Reagor,7.0,138.0,0.0,3.0,0.0,39.0,5.0,71.4,-0.0,18.0,23.0,0.24415237163773382
333,Deuce Vaughn,7.0,40.0,0.0,0.0,0.0,11.0,1.0,14.3,-0.0,46.0,7.0,0.14160505085131808
334,Darnell Washington,7.0,61.0,0.0,0.0,0.0,12.0,4.0,57.1,-0.0,50.0,10.0,0.1879276374142112
335,Trayveon Williams,7.0,10.0,0.0,0.0,0.0,5.0,0.0,0.0,-0.0,35.0,9.0,0.11970107929746689
337,Ronnie Bell,6.0,68.0,3.0,1.0,0.0,20.0,5.0,83.3,-0.0,10.0,13.0,0.2405579714479521
338,Raheem Blackshear,6.0,45.0,0.0,0.0,0.0,19.0,1.0,16.7,-0.0,38.0,7.0,0.15002165921405863
339,Jalen Brooks,6.0,64.0,0.0,1.0,0.0,24.0,4.0,66.7,-0.0,28.0,6.0,0.20587895647740276
340,DeeJay Dallas,6.0,26.0,0.0,0.0,0.0,14.0,1.0,16.7,-0.0,31.0,9.0,0.14427962343576395
341,Keelan Doss,6.0,33.0,0.0,0.0,0.0,9.0,1.0,16.7,-0.0,14.0,13.0,0.13954230496914735
342,Tyler Goodson,6.0,34.0,0.0,0.0,0.0,15.0,1.0,16.7,-0.0,51.0,9.0,0.14834085489270316
343,Jimmy Graham,6.0,39.0,4.0,0.0,0.0,12.0,6.0,100.0,-0.0,3.0,7.0,0.24736032156669197
344,Eric Gray,6.0,22.0,0.0,0.0,0.0,9.0,0.0,0.0,-0.0,40.0,7.0,0.1230817111478589
345,Julian Hill,6.0,48.0,0.0,0.0,0.0,18.0,2.0,33.3,-1.0,30.0,9.0,0.13504435989201172
346,Elijah Mitchell,6.0,14.0,0.0,0.0,0.0,9.0,2.0,33.3,-0.0,26.0,8.0,0.1537852903227944
347,Justyn Ross,6.0,53.0,0.0,1.0,0.0,20.0,2.0,33.3,-0.0,15.0,11.0,0.1697161875201217
348,Isaiah Spiller,6.0,34.0,0.0,0.0,0.0,10.0,1.0,16.7,-0.0,39.0,6.0,0.1402858173429468
349,Blake Bell,5.0,26.0,1.0,0.0,0.0,8.0,1.0,20.0,-1.0,19.0,9.0,0.11573154508746396
350,Gary Brightwell,5.0,47.0,0.0,0.0,0.0,18.0,2.0,40.0,-0.0,53.0,7.0,0.17266907923723582
351,Jason Brownlee,5.0,56.0,1.0,1.0,0.0,24.0,2.0,40.0,-0.0,20.0,8.0,0.18520897090057567
352,Randall Cobb,5.0,39.0,1.0,0.0,0.0,15.0,3.0,60.0,-0.0,23.0,17.0,0.19677689213993832
353,Payne Durham,5.0,58.0,0.0,1.0,0.0,25.0,3.0,60.0,-0.0,16.0,7.0,0.19751527967204388
354,Brycen Hopkins,5.0,78.0,0.0,2.0,0.0,29.0,3.0,60.0,-0.0,32.0,7.0,0.20771056724651782
355,Deon Jackson,5.0,14.0,0.0,0.0,0.0,8.0,0.0,0.0,-1.0,20.0,6.0,0.08743402692799634
356,Marvin Jones,5.0,35.0,0.0,0.0,0.0,16.0,2.0,40.0,-1.0,9.0,10.0,0.13546670588563428
357,Keith Kirkwood,5.0,37.0,1.0,0.0,0.0,13.0,3.0,60.0,-0.0,1.0,9.0,0.18761565370042674
358,Ty Montgomery,5.0,40.0,0.0,0.0,0.0,17.0,3.0,60.0,-0.0,27.0,12.0,0.18972810736374723
359,David Moore,5.0,94.0,1.0,1.0,1.0,52.0,3.0,60.0,-0.0,62.0,7.0,0.24897926820489882
360,Craig Reynolds,5.0,47.0,0.0,1.0,0.0,28.0,2.0,40.0,-0.0,59.0,5.0,0.18534459073129692
361,Patrick Ricard,5.0,52.0,1.0,1.0,0.0,28.0,3.0,60.0,-0.0,35.0,7.0,0.20968691518784927
363,Ronnie Rivers,5.0,22.0,0.0,0.0,0.0,10.0,0.0,0.0,-0.0,41.0,5.0,0.12239040947991535
364,Equanimeous St. Brown,5.0,62.0,0.0,1.0,0.0,21.0,3.0,60.0,-0.0,7.0,6.0,0.19207998800882822
365,Jack Stoll,5.0,38.0,0.0,0.0,0.0,14.0,2.0,40.0,-0.0,25.0,8.0,0.16507184955948664
366,Brenton Strange,5.0,35.0,1.0,0.0,0.0,17.0,2.0,40.0,-0.0,28.0,9.0,0.17576837966147305
367,Pierre Strong,5.0,47.0,0.0,1.0,1.0,41.0,1.0,20.0,-0.0,73.0,8.0,0.1923118352104847
368,Ian Thomas,5.0,56.0,0.0,1.0,0.0,28.0,1.0,20.0,-0.0,33.0,9.0,0.16511149908296033
369,Nate Adkins,4.0,22.0,0.0,0.0,0.0,11.0,1.0,25.0,-0.0,24.0,5.0,0.14414711614227035
370,Robbie Chosen,4.0,126.0,1.0,2.0,1.0,68.0,3.0,75.0,-0.0,31.0,6.0,0.2775587899842092
371,Lawrence Cager,4.0,36.0,1.0,0.0,0.0,10.0,2.0,50.0,-0.0,27.0,5.0,0.1750909745649184
372,Grant Calcaterra,4.0,39.0,0.0,0.0,0.0,12.0,3.0,75.0,-0.0,32.0,4.0,0.1941772666139136
373,DeAndre Carter,4.0,39.0,0.0,0.0,0.0,16.0,0.0,0.0,-0.0,50.0,7.0,0.13059160334883615
374,Nick Chubb,4.0,21.0,0.0,0.0,0.0,10.0,1.0,25.0,-0.0,20.0,4.0,0.14206352791512078
375,Britain Covey,4.0,42.0,0.0,1.0,0.0,22.0,2.0,50.0,-0.0,26.0,6.0,0.18364988809293054
376,Devin Duvernay,4.0,18.0,0.0,0.0,0.0,10.0,0.0,0.0,-0.0,17.0,9.0,0.12028535357390067
377,Marquise Goodwin,4.0,67.0,0.0,1.0,1.0,57.0,1.0,25.0,-0.0,21.0,13.0,0.20836372109586587
378,Peyton Hendershot,4.0,38.0,0.0,1.0,0.0,24.0,1.0,25.0,-0.0,28.0,7.0,0.16236899312969336
379,Keaontay Ingram,4.0,26.0,0.0,0.0,0.0,9.0,1.0,25.0,-0.0,31.0,4.0,0.14281220597024402
380,Rakim Jarrett,4.0,60.0,0.0,1.0,1.0,41.0,1.0,25.0,-0.0,27.0,9.0,0.19109825407125847
381,Velus Jones Jr.,4.0,20.0,0.0,0.0,0.0,11.0,1.0,25.0,-0.0,15.0,7.0,0.1438788117741113
382,Marcedes Lewis,4.0,29.0,1.0,0.0,0.0,16.0,2.0,50.0,-0.0,29.0,5.0,0.18087246914279642
383,Zach Pascal,4.0,19.0,0.0,0.0,0.0,9.0,1.0,25.0,-0.0,12.0,15.0,0.14562711532061764
384,Boston Scott,4.0,52.0,0.0,1.0,0.0,27.0,2.0,50.0,-0.0,43.0,6.0,0.1913194429246193
385,Ben Sims,4.0,21.0,1.0,0.0,0.0,12.0,3.0,75.0,-0.0,18.0,6.0,0.19942748770880517
386,Austin Trammell,4.0,29.0,0.0,0.0,0.0,14.0,2.0,50.0,-0.0,35.0,7.0,0.17376789420493577
387,Emanuel Wilson,4.0,23.0,0.0,0.0,0.0,9.0,1.0,25.0,-0.0,30.0,5.0,0.14304684094005268
389,Alex Armah,3.0,13.0,0.0,0.0,0.0,10.0,1.0,33.3,-0.0,27.0,3.0,0.14886211918207037
390,Nick Bawden,3.0,21.0,0.0,0.0,0.0,8.0,1.0,33.3,-0.0,22.0,3.0,0.14663869419734485
391,Khari Blasingame,3.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,-0.0,5.0,6.0,0.10968479647162938
392,Miles Boykin,3.0,17.0,0.0,0.0,0.0,6.0,0.0,0.0,-0.0,2.0,4.0,0.11095242375508106
393,Michael Burton,3.0,8.0,0.0,0.0,0.0,4.0,2.0,66.7,-0.0,6.0,3.0,0.17138890594784803
394,Chris Conley,3.0,69.0,0.0,1.0,1.0,48.0,2.0,66.7,-0.0,28.0,6.0,0.23520923971851185
395,Elijah Cooks,3.0,38.0,0.0,1.0,0.0,23.0,2.0,66.7,-0.0,8.0,4.0,0.19539178958768427
396,Jashaun Corbin,3.0,12.0,0.0,0.0,0.0,7.0,1.0,33.3,-0.0,13.0,3.0,0.1440021352124959
397,Greg Dulcich,3.0,25.0,0.0,0.0,0.0,13.0,2.0,66.7,-0.0,5.0,4.0,0.1814262705085423
398,Melvin Gordon,3.0,46.0,0.0,1.0,0.0,23.0,3.0,100.0,-0.0,28.0,3.0,0.2293240409432376
399,Kevin Harris,3.0,58.0,0.0,1.0,1.0,48.0,2.0,66.7,-0.0,59.0,3.0,0.23725461691380323
400,Hunter Luepke,3.0,18.0,0.0,0.0,0.0,12.0,1.0,33.3,-0.0,16.0,4.0,0.15011297656894765
401,Jordan Mason,3.0,31.0,0.0,0.0,0.0,13.0,1.0,33.3,-0.0,23.0,4.0,0.15268238227042352
402,D.J. Montgomery,3.0,56.0,1.0,1.0,0.0,34.0,3.0,100.0,-0.0,28.0,8.0,0.2501696765216609
403,Jalen Nailor,3.0,29.0,0.0,0.0,0.0,16.0,1.0,33.3,-0.0,21.0,6.0,0.15628521865607717
404,La'Mical Perine,3.0,33.0,0.0,1.0,0.0,25.0,1.0,33.3,-0.0,32.0,5.0,0.16937412971386104
405,Eric Saubert,3.0,12.0,0.0,0.0,0.0,5.0,1.0,33.3,-0.0,6.0,3.0,0.14110851156523252
406,Trey Sermon,3.0,13.0,0.0,0.0,0.0,7.0,0.0,0.0,-0.0,6.0,6.0,0.11330422359372584
407,Steven Sims,3.0,25.0,0.0,1.0,0.0,23.0,1.0,33.3,-0.0,27.0,3.0,0.16530768318462144
408,Keith Smith,3.0,33.0,0.0,1.0,0.0,28.0,1.0,33.3,-0.0,15.0,3.0,0.1689882885115768
409,Charlie Woerner,3.0,32.0,0.0,1.0,0.0,20.0,1.0,33.3,-0.0,20.0,3.0,0.16178831890198814
410,Kayshon Boutte,2.0,19.0,0.0,0.0,0.0,11.0,1.0,50.0,-0.0,10.0,7.0,0.16435752581455856
411,J.K. Dobbins,2.0,15.0,0.0,0.0,0.0,10.0,0.0,0.0,-0.0,15.0,3.0,0.11522165682163998
412,Elijah Dotson,2.0,13.0,0.0,0.0,0.0,7.0,0.0,0.0,-0.0,14.0,2.0,0.11153503321443657
413,Kenyan Drake,2.0,31.0,0.0,1.0,0.0,24.0,0.0,0.0,-1.0,36.0,3.0,0.1053584910565923
415,Damien Harris,2.0,16.0,0.0,0.0,0.0,13.0,0.0,0.0,-0.0,16.0,2.0,0.11781906560828527
416,Trishton Jackson,2.0,9.0,0.0,0.0,0.0,7.0,0.0,0.0,-0.0,7.0,4.0,0.11143438969284471
417,Tyler Johnson,2.0,8.0,1.0,0.0,0.0,8.0,1.0,50.0,-0.0,1.0,3.0,0.1645805099685017
418,Chris Manhertz,2.0,16.0,0.0,0.0,0.0,10.0,1.0,50.0,-0.0,10.0,4.0,0.16167080580477647
419,Anthony McFarland,2.0,11.0,0.0,0.0,0.0,6.0,1.0,50.0,-0.0,7.0,2.0,0.15606825481699063
420,James Mitchell,2.0,28.0,0.0,1.0,0.0,24.0,1.0,50.0,-0.0,12.0,2.0,0.17832309428467713
421,Quintin Morris,2.0,26.0,1.0,0.0,0.0,15.0,1.0,50.0,-0.0,5.0,3.0,0.17286403460261707
422,Dare Ogunbowale,2.0,18.0,0.0,0.0,0.0,14.0,0.0,0.0,-0.0,5.0,7.0,0.12001956662174407
423,Adam Prentice,2.0,12.0,0.0,0.0,0.0,7.0,0.0,0.0,-0.0,8.0,3.0,0.11119975472303603
424,Teagan Quitoriano,2.0,33.0,0.0,1.0,0.0,22.0,2.0,100.0,-0.0,18.0,3.0,0.22449315043479048
425,Chris Rodriguez Jr.,2.0,12.0,0.0,0.0,0.0,7.0,1.0,50.0,-0.0,19.0,2.0,0.15870503616370504
426,Willie Snead,2.0,14.0,0.0,0.0,0.0,9.0,0.0,0.0,-0.0,3.0,3.0,0.11258487547492556
427,Malik Taylor,2.0,13.0,0.0,0.0,0.0,7.0,0.0,0.0,-0.0,7.0,4.0,0.11163540481923297
428,Sean Tucker,2.0,9.0,0.0,0.0,0.0,6.0,0.0,0.0,-0.0,12.0,2.0,0.11008833257173761
429,Ke'Shawn Vaughn,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,-0.0,1.0,5.0,0.10688752008566431
430,David Wells,2.0,-10.0,0.0,0.0,0.0,1.0,1.0,50.0,-1.0,-10.0,2.0,0.11754287808470382
431,Damien Williams,2.0,12.0,0.0,0.0,0.0,8.0,0.0,0.0,-0.0,11.0,2.0,0.11206004392474686
432,Kenny Yeboah,2.0,28.0,0.0,1.0,0.0,20.0,1.0,50.0,-0.0,20.0,4.0,0.17652466053648605
433,Tank Bigsby,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,-0.0,5.0,4.0,0.10927400089133027
434,Ben Bredeson,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,2.0,1.0,0.10114668138936816
435,Jake Browning,1.0,-7.0,0.0,0.0,0.0,-7.0,0.0,0.0,-0.0,0.0,1.0,0.09368411676258183
436,Khalil Dorsey,1.0,31.0,0.0,1.0,0.0,31.0,1.0,100.0,-0.0,9.0,1.0,0.22908534575532433
437,Colton Dowell,1.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,-0.0,0.0,2.0,0.10448130616352662
438,Ross Dwelley,1.0,12.0,0.0,0.0,0.0,12.0,1.0,100.0,-0.0,12.0,2.0,0.20734463577642018
439,Brandin Echols,1.0,18.0,0.0,0.0,0.0,18.0,1.0,100.0,-0.0,8.0,1.0,0.21245544376629555
441,Chris Evans,1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-0.0,0.0,1.0,0.0998507420914604
442,Simi Fehoko,1.0,9.0,1.0,0.0,0.0,9.0,1.0,100.0,-0.0,7.0,2.0,0.21058390908058452
443,Tucker Fisk,1.0,9.0,0.0,0.0,0.0,9.0,1.0,100.0,-0.0,6.0,1.0,0.20293733736321637
444,John FitzPatrick,1.0,12.0,0.0,0.0,0.0,12.0,1.0,100.0,-0.0,10.0,1.0,0.20655698684717833
445,Cole Fotheringham,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,-0.0,5.0,1.0,0.10771555933288872
446,Royce Freeman,1.0,13.0,0.0,0.0,0.0,13.0,1.0,100.0,-0.0,14.0,2.0,0.2086405750743279
447,Jake Funk,1.0,12.0,0.0,0.0,0.0,12.0,1.0,100.0,-0.0,12.0,1.0,0.20682515525693965
448,Reggie Gilliam,1.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,-0.0,2.0,1.0,0.10422999405380744
449,Antoine Green,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,-0.0,1.0,2.0,0.10358761948026086
450,Justin Herbert,1.0,10.0,0.0,0.0,0.0,10.0,1.0,100.0,-0.0,17.0,1.0,0.2054400345050501
451,Jesper Horsted,1.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,-0.0,2.0,1.0,0.10525776494195388
452,Sam Howell,1.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,-0.0,3.0,1.0,0.10539184914683454
453,Evan Hull,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,-0.0,3.0,1.0,0.1074473909231274
454,Collin Johnson,1.0,11.0,0.0,0.0,0.0,11.0,1.0,100.0,-0.0,4.0,1.0,0.20472471072974788
455,Jakob Johnson,1.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,-0.0,10.0,2.0,0.11507208620565113
456,Ko Kieft,1.0,2.0,1.0,0.0,0.0,2.0,1.0,100.0,-0.0,2.0,5.0,0.20427753339759774
457,Mason Kinsey,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,-0.0,8.0,1.0,0.10811781194753073
458,Bam Knight,1.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,-0.0,13.0,1.0,0.11084377474822692
459,Kwamie Lassiter II,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,-0.0,3.0,1.0,0.10333630737054168
460,Nick Muse,1.0,22.0,0.0,1.0,0.0,22.0,1.0,100.0,-0.0,10.0,1.0,0.21996949196688712
461,Gunner Olszewski,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0705754826765765
462,Devine Ozigbo,1.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,-0.0,5.0,1.0,0.10977110110918158
463,Rashaad Penny,1.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,-0.0,6.0,1.0,0.10682187264962296
464,Kevin Rader,1.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,-0.0,4.0,3.0,0.10862043616696909
465,Giovanni Ricci,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,-0.0,3.0,1.0,0.10333630737054168
467,Desmond Ridder,1.0,-6.0,0.0,0.0,0.0,-6.0,0.0,0.0,-0.0,0.0,1.0,0.09471188765072824
468,James Robinson,1.0,-2.0,0.0,0.0,0.0,-2.0,0.0,0.0,-0.0,1.0,1.0,0.09895705540819462
469,Malcolm Rodriguez,1.0,6.0,0.0,0.0,0.0,6.0,1.0,100.0,-0.0,0.0,1.0,0.19904951946949306
470,Jeffery Simmons,1.0,2.0,1.0,0.0,0.0,2.0,1.0,100.0,-0.0,0.0,1.0,0.20193144290991435
471,Dan Skipper,1.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,-0.0,5.0,1.0,0.10566001755659586
472,Donovan Smith,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.10087851297960683
473,Geno Smith,1.0,-2.0,0.0,0.0,0.0,-2.0,0.0,0.0,-0.0,6.0,1.0,0.09962747643259794
474,Mike Strachan,1.0,45.0,0.0,1.0,1.0,45.0,1.0,100.0,-0.0,8.0,3.0,0.2544800251244648
475,C.J. Stroud,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.1010125971844875
476,Cody Thompson,1.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,-0.0,4.0,1.0,0.11169255868059377
477,Laquon Treadwell,1.0,16.0,0.0,0.0,0.0,16.0,1.0,100.0,-0.0,0.0,3.0,0.21036618938991844
478,Nick Vannett,1.0,3.0,0.0,0.0,0.0,3.0,1.0,100.0,-0.0,0.0,1.0,0.1959662068050538
479,Tylan Wallace,1.0,11.0,0.0,0.0,0.0,11.0,1.0,100.0,-0.0,0.0,2.0,0.20470785442970574
480,Trevon Wesco,1.0,21.0,0.0,1.0,0.0,21.0,1.0,100.0,-0.0,12.0,3.0,0.22024885052746307
481,Damiere Byrd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,0.10063405155867479
482,Irvin Charles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.10011457103919429
483,Tommy DeVito,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.09959509051971377
484,Phillip Dorsett,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,3.0,0.10115353207815532
485,D'Wayne Eskridge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.10011457103919429
486,Erik Ezukanma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.10011457103919429
487,Chauncey Golston,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.09959509051971377
488,Robert Hainsey,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,-0.0,-3.0,0.0,0.09610952524063249
489,JaMycal Hasty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,0.10063405155867479
490,Travis Homer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.10011457103919429
491,Shedrick Jackson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.10011457103919429
492,Daniel Jones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.09959509051971377
493,Sean McKeon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,0.10063405155867479
494,Jordan Mims,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,0.10063405155867479
495,Albert Okwuegbunam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.10011457103919429
496,Trey Pipkins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.09959509051971377
497,James Proche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,5.0,0.10219249311711635
498,Amari Rodgers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,0.10063405155867479
499,Matthew Stafford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.09959509051971377
500,Easton Stick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.09959509051971377
501,Cole Strange,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,-0.0,3.0,0.0,0.10308065579879505
502,Ryan Tannehill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.10011457103919429
503,Trent Taylor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,0.10063405155867479
504,Greg Van Roten,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,-1.0,5.0,0.0,0.07510133568181893
505,Jonathan Williams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.10011457103919429
506,Rod Williams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,2.0,0.10063405155867479
507,Juwann Winfree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.10011457103919429
